作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
熬一耶ye,420963,春晚小品《再考亿次四级》,109867,5527,6561,9847,1015,1264947,1524,87,2021/12/19 18:42,2021/12/23 15:54,,生活 搞笑,life,3.883449074
河马君,1057110,《 家 庭 地 位 》,73196,473,2868,1131,206,711021,335,39,2021/12/20 18:15,2021/12/23 15:55,无限搞笑公司 搞笑,生活 搞笑,life,2.902604167
良心发作的chunchun,368987,美国医生：这是17世纪的针灸术！（挥棒,105965,5580,7661,878,667,1250763,559,161,2021/12/19 19:55,2021/12/23 15:55,搞笑,生活 搞笑,life,3.833391204
雨哥到处跑,2544951,联合整蛊徐大虾，结果居然...,383314,97161,27104,3633,33271,2250068,3520,1426,2021/12/19 11:05,2021/12/23 15:55,搞笑,生活 搞笑,life,4.201493056
歪国那些事儿,121264,《百变CEO》,294873,5422,72569,24182,2078,3037524,1109,111,2021/12/17 17:29,2021/12/23 15:55,搞笑,生活 搞笑,life,5.934664352
自来卷三木,2363156,警告！！！这个视频会让你感到非常难受,66103,3440,3104,1551,1460,614036,1595,141,2021/12/21 15:26,2021/12/23 15:55,搞笑,生活 搞笑,life,2.020324074
美食作家王刚R,6105670,王刚制作烤鱼分享“试菜”工作日常，反复实验才能换来真正的美食,54630,5684,2472,924,2979,703287,1372,378,2021/12/21 17:41,2021/12/23 15:55,美食,生活 日常,life,1.926180556
大猛子ym,714059,揭开工地神秘的面纱。,45520,20454,3436,2682,2719,539408,3127,430,2021/12/22 20:01,2021/12/23 15:55,无限搞笑公司 搞笑,生活 搞笑,life,0.829085648
我走可以了吧,1238,“我爱的人早在18岁就已经爱过我了，至于她30岁爱谁 40岁爱谁 甚至后半生爱谁 我都祝福她”,25702,7254,10456,1304,892,668244,2555,180,2021/12/21 17:50,2021/12/23 15:55,,生活 日常,life,1.920590278
一只王霸天,622611,当睡醒后发现家里变了样会发生什么？,147680,5287,9017,9946,1206,2246453,1091,217,2021/12/18 16:34,2021/12/23 15:55,搞笑,生活 搞笑,life,4.972997685
快乐治愈小分队,594836,好久没有这样快乐过了,178934,11023,52848,4680,1619,2992164,1389,145,2021/12/17 15:11,2021/12/23 15:55,搞笑,生活 日常,life,6.030949074
亚巴拉辛巴,301026,出租车起步价一首歌,245817,12521,67607,12633,834,2922742,1199,163,2021/12/17 12:11,2021/12/23 15:55,搞笑,生活 搞笑,life,6.156215278
特效小哥studio,2032521,200W粉偷偷整个活，反正应该也没人看,48427,6304,7894,1631,1082,434816,1668,144,2021/12/21 17:09,2021/12/23 15:56,跑酷 原神 搞笑,生活 搞笑,life,1.94875
机智的碎月,576652,主持人：不好意思，话筒不够用了...,154086,33592,10493,1387,1408,1445745,1247,207,2021/12/19 12:10,2021/12/23 15:56,搞笑,生活 搞笑,life,4.157048611
冒牌三桂,4787,用木盒画条小鱼,69929,438,9017,438,222,840457,544,60,2021/12/18 19:56,2021/12/23 15:56,绘画,生活 绘画,life,4.832962963
大萌萌萌子在此,220957,勺子镇究极进化——勺子县,54897,1157,3752,625,280,492709,476,63,2021/12/20 21:23,2021/12/23 15:56,手办模玩 玩具 手工,生活 手工,life,2.772534722
地位极高硬气鑫,435913,女朋友回家给我带来了烤肠和蛋糕,39822,1451,1901,1826,436,756565,813,54,2021/12/21 17:00,2021/12/23 15:56,美食,生活 日常,life,1.955648148
葵花瓜子啊,4661,卧槽！高三就这么美了吗？,67815,9646,18577,4486,3600,1838593,1431,172,2021/12/18 17:52,2021/12/23 15:56,,生活 日常,life,4.919791667
麒麟汐正能量,364,妈妈的心理活动都写在脸上了，网友表示：深有同感,66518,140,2823,2754,155,949983,375,46,2021/12/19 3:11,2021/12/23 15:56,,生活 日常,life,4.531342593
黑旗团队,517026,当高手遇上套路,52599,2344,739,342,138,593261,483,46,2021/12/21 17:50,2021/12/23 15:56,,生活 搞笑,life,1.921226852
Thurman猫一杯,774712,好了大家冬至快乐～,53394,2048,1567,604,282,548128,751,84,2021/12/21 17:15,2021/12/23 15:56,无限搞笑公司 法语 搞笑,生活 搞笑,life,1.945300926
密林手作,231506,【密林手作】羊毛毡画 | 一棵圣诞树,42563,3367,6484,1464,190,776297,321,83,2021/12/19 20:30,2021/12/23 15:56,手工 DIY,生活 手工,life,3.810289352
央美天子聊画画,76630,央美优秀试卷为啥和我平时学的速写看着不一样？,120575,293,12244,555,302,1717932,1123,115,2021/12/18 17:13,2021/12/23 15:57,绘画,生活 绘画,life,4.946840278
-_-未央-_-,201,昙花一现,198226,2925,20202,2068,14589,1871450,4664,54,2021/12/14 0:58,2021/12/23 15:57,必剪创作,生活 日常,life,9.62412037
star星视频,93241,父亲为儿子操办婚礼，提前2个月在家门前撒草籽，婚礼现场惊艳了,112892,2094,5659,1628,1257,1112905,919,83,2021/12/17 16:44,2021/12/23 15:57,婚礼 户外,生活 日常,life,5.967280093
找寻非遗技艺,46274,童年的回忆，手艺人自制翻花。一分钟翻出十八样花，每一朵花还对应一个成语！,53049,403,5609,422,308,532025,294,74,2021/12/19 22:27,2021/12/23 15:57,,生活 日常,life,3.729108796
狈总,1436540,像不像玩游戏时的你,41579,435,1136,983,176,682108,613,58,2021/12/22 17:34,2021/12/23 15:57,搞笑,生活 搞笑,life,0.932650463
万宁叔vv,405132,校园里的委屈时刻,46517,261,2502,226,74,554758,180,38,2021/12/20 19:30,2021/12/23 15:57,搞笑,生活 搞笑,life,2.852280093
粤知一二,2017617,在广东见家长要注意什么？,192216,2875,13090,5048,3585,2105424,2908,289,2021/12/18 12:00,2021/12/23 15:57,脱口秀 粤语 搞笑,生活 搞笑,life,5.164907407
老戴在此,2185010,小 戴 在 此  2021年12月21日出生啦 体重6斤7两  你说来就来。放心 不会变成育儿频道。,48347,16397,2526,365,2893,222363,3999,24,2021/12/22 4:22,2021/12/23 15:57,,生活 日常,life,1.482638889
洛杉矶嬴政W,610253,隔离日记，这就是派大星！？,44832,378,1573,122,417,572970,375,164,2021/12/20 19:47,2021/12/23 15:57,创作加成计划 派大星 vlog,生活 日常,life,2.840185185
摸鱼能手邓大头,785095,玩个椪糖，怎么还急了呢？,44088,8066,1785,3157,2134,481212,985,219,2021/12/21 14:31,2021/12/23 15:57,搞笑,生活 搞笑,life,2.059872685
_果宝特别攻_,25565,保研名额只有两个啊（拔刀）,99895,28120,14413,8372,1580,1652026,1640,255,2021/12/18 11:50,2021/12/23 15:57,哆啦A梦 周星驰 考研 搞笑,生活 搞笑,life,5.172013889
internet-boy,838704,事情得从我的这个怪癖说起...,72624,982,12840,4290,655,571452,1138,137,2021/12/18 23:00,2021/12/23 15:58,美国 英语,生活 日常,life,4.706782407
沙雕视频收集工具人,3847,每间宿舍里都有一个智商超群的室友,125369,1522,20932,8440,370,1808560,583,159,2021/12/14 12:00,2021/12/23 15:58,搞笑,生活 搞笑,life,9.165162037
东方月初cl,43313,“我也想这样的快乐生活”,101612,7332,17186,4896,822,1536857,504,177,2021/12/17 9:33,2021/12/23 15:58,,生活 搞笑,life,6.267233796
是老胡没错,1066370,我 的 畜 生 朋 友 3,147627,20028,9795,5883,3909,1827905,1981,276,2021/12/18 17:10,2021/12/23 15:58,搞笑,生活 搞笑,life,4.95005787
安迪老师-TeacherAndy,221160,【安迪老師】向大家说声抱歉，11月6日发布的《肖邦e小调夜曲》由于后期剪辑的原因，整个低了半个音，现在我们重新发布一遍修正之后的标准版，请大家原谅！,32664,12274,3300,443,451,431335,744,1300,2021/12/21 6:35,2021/12/23 15:58,,生活 日常,life,2.391030093
mewhan_jp,203325,日本人初试中国饮料,31124,8475,3356,1298,3970,451409,1903,378,2021/12/20 16:28,2021/12/23 15:58,日语学习 饮料 日语 美食,生活 日常,life,2.979293981
溫暖的冷风,1270051,在大家的支持下助农挣了一点钱，把利润全都捐给山区的孩子！,37683,44240,3861,642,715,174487,1118,336,2021/12/22 11:00,2021/12/23 15:58,公益 vlog,生活 日常,life,1.207141204
银河电竞,487267,【大家晚上好】过冬至，包饺子，听我聊聊心底事,37257,25032,3969,189,3522,251262,1230,809,2021/12/21 17:40,2021/12/23 15:58,vlog,生活 日常,life,1.929456019
山东卫视,49018,太卷了！当官方掌握流量密码！官方硬核广告大赏|警察消防运动员中国火箭军女兵帅酷变装 反诈广告 四川监狱疫苗接种土味广告,76931,1354,9917,1719,803,483987,860,79,2021/12/18 10:40,2021/12/23 15:58,,生活 日常,life,5.221238426
了不起的八万二饼,1119696,谢谢  我丑的睡不着觉！,45929,10264,2332,1418,2903,343175,738,378,2021/12/21 12:10,2021/12/23 15:58,开箱 搞笑,生活 搞笑,life,2.158900463
炼金大厨来了,33811,砂纸里竟然能提出银子？,57613,107,2395,64,82,551901,202,65,2021/12/19 12:08,2021/12/23 15:58,,生活 日常,life,4.159918981
冲浪达人阿怡,757374,当我带一个假男友回家,94583,782,3466,825,216,950102,514,99,2021/12/19 1:49,2021/12/23 15:59,搞笑新星训练营 搞笑,生活 搞笑,life,4.59005787
记录不同的搞笑瞬间,27823,这无缝衔接就离谱！,103490,12577,34140,10407,623,1244998,791,162,2021/12/12 11:30,2021/12/23 15:59,搞笑,生活 搞笑,life,11.18649306
行走的大大大羊腿,199023,加拿大超市真是怕了，快过节了小偷组团来进货来了？,63002,68,2277,200,363,733864,689,84,2021/12/19 11:15,2021/12/23 15:59,,生活 日常,life,4.197326389
胖家军-陈胖胖,738772,千 万 年 薪 招 元 宇 宙 合 伙 人！,34019,7144,2096,507,3700,388244,2445,299,2021/12/21 18:27,2021/12/23 15:59,无限搞笑公司 搞笑 必剪创作,生活 搞笑,life,1.897222222
吴夏帆woo,315712,不要慢慢来，我，要跳级了！,35158,1864,4862,2744,498,362131,560,119,2021/12/20 18:00,2021/12/23 15:59,B站小剧场 短片,生活 日常,life,2.916087963
Always-Kid,411409,毛茸茸软乎乎的俄罗斯方块，也太解压了吧,38605,120,5750,778,65,514458,139,58,2021/12/19 11:53,2021/12/23 15:59,搞笑 必剪创作,生活 搞笑,life,4.170729167
宁小雪啊,246276,人类幼崽崩溃瞬间…爸爸毫不知情的情况下 吃了最后一根冰淇淋,28167,1103,1418,3755,241,528849,367,83,2021/12/21 19:42,2021/12/23 15:59,无限搞笑公司 搞笑,生活 搞笑,life,1.8453125
脱缰凯Kk,409389,是不是晚饭后的你们家？,55423,327,2299,379,301,629131,387,141,2021/12/19 18:01,2021/12/23 15:59,无限搞笑公司,生活 搞笑,life,3.915277778
南九缘,7511,“我好想她，真的好想。”,54051,30957,18671,13403,2230,915216,5818,393,2021/12/17 17:44,2021/12/23 15:59,情侣,生活 日常,life,5.927453704
YouTube精选字幕组,2024535,在街上对路人展开疯狂夸夸，看看大家会有什么反应,365215,8161,85957,7730,1079,3216942,3170,112,2021/12/15 15:55,2021/12/23 15:59,,生活 日常,life,8.003194444
菌儿rikushi,155457,如 何 正 确 ban 英 雄,16022,2531,6111,3054,156,437054,442,43,2021/12/20 21:41,2021/12/23 16:00,无限搞笑公司 英雄联盟 搞笑 必剪创作,生活 搞笑,life,2.763206019
成都消防,6401,兄弟，那一刻你惊艳了在场所有人,45855,307,1138,80,342,833763,1104,13,2021/12/18 22:10,2021/12/23 16:00,,生活 日常,life,4.743090278
眼界11,1132,432HZ的雨声是能让人体达到极度舒适的频率，超长10小时，一起冥想，一起放空，一起解压,28894,20005,67484,2257,380,503803,1047,35902,2021/12/16 14:12,2021/12/23 16:00,心理学,生活 日常,life,7.075092593
天亮手工,236973,爆肝365个小时，用快递纸箱硬核盘点10大年度商品,8981,2431,1829,186,128,676516,112,222,2021/12/22 12:02,2021/12/23 16:00,模型 手工 DIY,生活 手工,life,1.164907407
圆脸颖入职记,392056,领导说年终报告连狗都比我写的好，我准备让狗帮我写了。,126722,2722,6589,2722,454,1659739,881,100,2021/12/18 12:43,2021/12/23 16:00,无限搞笑公司,生活 搞笑,life,5.136597222
真子日记,855340,实话说以我的容貌，老亨你真是捡了个大便宜,86681,2698,2440,862,2870,1515301,1576,200,2021/12/19 11:00,2021/12/23 16:00,穿越火线 搞笑,生活 搞笑,life,4.208634259
伊那椰,35764,眼,24778,908,16554,929,87,575191,667,16,2021/12/18 19:41,2021/12/23 16:00,,生活 日常,life,4.846516204
八两银子i,77529,不到100自制全世界最好看的圣诞树！,38530,185,4225,1077,43,289713,159,45,2021/12/21 17:18,2021/12/23 16:00,定格身边的小美好 DIY,生活 日常,life,1.945787037
潇潇学姐lady,309424,文理科生问题,43323,90,1106,112,72,335434,276,47,2021/12/21 18:53,2021/12/23 16:00,搞笑,生活 搞笑,life,1.879780093
迷人的大反派喔,569543,就你了,43979,160,1019,116,82,329804,184,56,2021/12/21 16:51,2021/12/23 16:00,无限搞笑公司,生活 搞笑,life,1.964918981
社会正能量邱哥,645,"3.30 cnd:/ 12月14日，广西玉林。女孩放学口渴想吃橘子，暖心老板爽快答应并开玩笑:我的橘子被这些姑娘""抢""了。网友:听老板的声音就知道是个好人",56758,40,1222,27,57,641662,575,17,2021/12/18 14:27,2021/12/23 16:00,,生活 日常,life,5.064699074
达达达布溜-,1467478,超值！花了150块，让我年龄涨了30岁,33929,3038,1256,1524,3752,348858,1362,414,2021/12/21 19:01,2021/12/23 16:01,搞笑,生活 搞笑,life,1.87494213
彬彬找乐子,87792,变身就变点不一样的,165252,2053,26775,2766,378,1680437,1474,11,2021/12/13 20:53,2021/12/23 16:01,,生活 搞笑,life,9.796828704
人间奇葩行为,139482,唯美蓝线意境欣赏,67803,3362,18202,2579,296,1022104,299,133,2021/12/11 21:57,2021/12/23 16:01,,生活 日常,life,11.75232639
明眸皓齿甜锡锡,333,【tiktok】光环变装~可可爱爱圣诞版~,94401,768,10845,3049,292,721741,325,11,2021/12/16 17:38,2021/12/23 16:01,,生活 日常,life,6.932372685
超高能西柚,1338,穿山甲：给我玩阴的是吧？,24545,7441,5413,5898,402,316941,507,282,2021/12/20 9:10,2021/12/23 16:01,搞笑,生活 搞笑,life,3.285335648
胡凯利_洞主,228584,武汉突袭余小C！结局竟发生惊天反转？,22836,16826,2202,1098,2319,280639,1191,464,2021/12/21 12:05,2021/12/23 16:01,余小C 洞主 搞笑,生活 日常,life,2.164305556
张凤霞111,260682,看看你们是第几种,36823,134,1506,160,135,330972,276,50,2021/12/20 18:53,2021/12/23 16:01,搞笑,生活 搞笑,life,2.880775463
高斯Goh,1119743,高低得跟你比划两下,121936,28716,12473,1568,5674,1144580,1390,393,2021/12/19 12:00,2021/12/23 16:01,搞笑,生活 搞笑,life,4.167858796
DieForU,88,蜘 蛛 感 应,21336,114,3515,692,47,398839,238,13,2021/12/20 18:17,2021/12/23 16:01,蜘蛛侠,生活 搞笑,life,2.905706019
济公爷爷_游本昌,790035,冬安,50893,5010,1288,124,844,182098,1071,23,2021/12/21 19:13,2021/12/23 16:01,,生活 日常,life,1.866770833
梗指南,1562757,专业配音员是什么梗【梗指南】,31288,756,2126,902,305,344028,580,100,2021/12/21 20:29,2021/12/23 16:02,无限搞笑公司 科普 搞笑,生活 搞笑,life,1.813958333
小翰Hanyu,88426,“李白”——当李白遇见李白与李白,27583,5208,3885,1710,864,271808,1522,125,2021/12/21 18:41,2021/12/23 16:02,王者荣耀,生活 日常,life,1.889525463
风鸣雪澪,68956,幻塔来咯！诶？幻塔都来了，原神怎么还不发原石啊？,39495,5402,4132,5378,630,462468,2455,171,2021/12/19 17:48,2021/12/23 16:02,原神UP主激励计划 配音 搞笑,生活 搞笑,life,3.926064815
林末范,392484,笑死我了哈哈哈哈哈哈,26045,520,1748,3739,187,379254,1288,87,2021/12/21 17:19,2021/12/23 16:02,无限搞笑公司 情侣 搞笑,生活 搞笑,life,1.946226852
小花MEMES,232187,“我想这样大胆的生活！”,169024,6861,25342,3390,842,2326244,579,201,2021/12/15 14:08,2021/12/23 16:02,人类迷惑行为,生活 搞笑,life,8.079259259
愿你迷路走到我身旁,990,千万别在火车站买手机😭😭,79351,492,9550,6925,206,1521084,655,18,2021/12/16 15:17,2021/12/23 16:02,荷兰弟 蜘蛛侠 复仇者联盟 手机 超级英雄 搞笑 必剪创作,生活 搞笑,life,7.031030093
清北学霸团,4466,清华学霸婚礼秒变凡尔赛现场,91779,187,11169,900,272,1147897,1472,169,2021/11/26 22:56,2021/12/23 16:02,,生活 日常,life,26.71234954
盗月社食遇记,6425554,三姐妹快乐vlog：芝士瀑布方便面，麻辣火锅KTV！,154781,55905,12726,4309,12932,1549458,2746,786,2021/12/20 18:12,2021/12/23 16:03,美食,美食 美食记录,food,2.910034722
记录生活的蛋黄派,6801994,人生第一次做烤乳猪，皮比薯片还脆，帅小伙吃嗨了！,158800,26056,7950,2157,28731,1482146,2059,425,2021/12/20 17:33,2021/12/23 16:03,原来家电还可以这样 家常菜 厨艺 美食 搞笑,美食 美食制作,food,2.937222222
老少女阿珂,1163784,当宁死不吃虾壳的英国公公，遇到带壳吃的椒盐大虾，真香？,100201,47606,14310,1614,6349,1229397,2584,728,2021/12/21 17:00,2021/12/23 16:03,歪果仁 英国 美食,美食 美食测评,food,1.960358796
小文哥吃吃吃,2757144,请饼叔吃海鲜大咖的天花板，鲜到极致，一口入魂,109228,42696,8386,2068,4354,1047673,1358,794,2021/12/20 16:00,2021/12/23 16:03,海鲜 美食,美食 美食制作,food,3.002268519
刘庸干净又卫生,2010404,还记得前几天吃的烧烤吗？挺好吃，再来吃一次。,114260,8660,3630,6541,8964,1578518,3760,144,2021/12/21 11:00,2021/12/23 16:03,平行时空来跨年 美食,美食 美食侦探,food,2.210578704
鞑厨高寒,355700,别买！！做培根太简单！但是必须一定千万得注意......,60028,24491,12821,1576,2648,884881,1574,763,2021/12/20 21:00,2021/12/23 16:03,小吃 烹饪 厨艺 美食,美食 美食制作,food,2.794085648
胡仔一人食,701359,17个简单有趣的小食谱～,32385,7708,32340,3406,552,682987,658,464,2021/12/20 20:22,2021/12/23 16:03,我与美食的故事 家常菜 美食,美食 美食制作,food,2.820196759
小傲想睡觉,768943,冬至的小潮tEam！,79528,13740,5678,625,3140,669330,1792,379,2021/12/21 20:32,2021/12/23 16:03,烹饪 家常菜 厨艺 美食,美食 美食制作,food,1.813252315
假美食po主,3591307,一个人花400元去吃奢华海鲜拼盘 今天自己吃个爽,69674,22101,5445,969,7311,722950,1535,627,2021/12/21 19:00,2021/12/23 16:03,英国留学 螃蟹 探店 美食,美食 美食侦探,food,1.877581019
小紧张的虫虫,2332040,"东北菜的份量震惊我南方人一整年, 东北胃大满足!美食探店/无广试吃员",68045,13599,4460,2997,3601,980134,1798,399,2021/12/20 16:27,2021/12/23 16:03,美食侦探 探店 美食,美食 美食侦探,food,2.983553241
HOLA小测佬,861926,全世界排名第一的蛋糕！包教包会，闭着眼睛也能做出来！,141001,72479,133110,12919,3208,1864901,2375,263,2021/12/18 18:00,2021/12/23 16:04,试吃 小吃 烹饪 厨艺 美食 vlog,美食 美食制作,food,4.919224537
日食记,6343824,波士顿大龙虾说它冷，我帮它洗白白盖上被子煮一煮。,63601,16489,7545,5018,2681,636074,972,460,2021/12/21 18:01,2021/12/23 16:04,海鲜 美食,美食 美食制作,food,1.918634259
王师傅和小毛毛,1050714,百岁老人三个月不出家门的秘诀竟是…,44505,18417,4220,1019,7604,679978,2153,734,2021/12/22 12:07,2021/12/23 16:04,美食,美食 美食侦探,food,1.164537037
网不红萌叔Joey,1965327,你没喝过的奇葩饮料，苦瓜汁都甘拜下风！,67765,20364,4444,441,3435,420149,972,572,2021/12/22 17:50,2021/12/23 16:04,饮料 美食,美食 美食测评,food,0.926099537
雨琪在芬兰,579156,脆皮五花肉居然不香了？是什么让芬兰家人抢起来了！狂蘸辣椒赞不绝口，这个太香了！吃到停不下来！,50197,27520,4279,478,5314,467627,1588,1335,2021/12/22 17:00,2021/12/23 16:04,美食,美食 美食记录,food,0.961273148
拜托了小翔哥,4391539,试吃上海佛跳墙天花板，一口下去简直是殿堂级别的享受,59055,8529,2476,590,3511,620087,1315,436,2021/12/22 12:00,2021/12/23 16:04,科鲁泽，人生的痛快连成串 街头美食 探店 美食,美食 美食侦探,food,1.169594907
南翔不爱吃饭,622243,花一年时间复刻红楼梦中的冷香丸！做完之后不吃还要埋在土里？,149752,36992,15564,2799,3833,1941350,3059,220,2021/12/18 13:08,2021/12/23 16:04,烹饪 声优 家常菜 厨艺 美食 搞笑,美食 美食制作,food,5.122384259
大庆赶海,2748361,大海退潮后，大庆捡到躲在大文蛤里的八爪鱼，还挖到完整海葵花,64848,6789,1596,878,3380,533919,1269,378,2021/12/22 17:29,2021/12/23 16:04,螃蟹 赶海 美食,美食 田园美食,food,0.941041667
两个母亲另一个叫中国,4190,南方人第一次来东北吃烧烤，100串起点？,65523,66,2072,252,177,832950,409,76,2021/12/19 19:24,2021/12/23 16:04,不容错过的地方美食 烧烤 吃货 美食 必剪创作,美食 美食测评,food,3.861631944
Meetfood觅食,1192681,探访美国亚马逊无人超市，$8.99盒饭竟然翻车？揭秘生意惨淡背后原因,54354,11101,2681,330,2912,537833,787,365,2021/12/20 17:32,2021/12/23 16:04,4K 探店 美国 吃货 旅游 美食,美食 美食侦探,food,2.93931713
真探唐仁杰,1520427,上海老饭店 厨子探店¥510,48121,1696,1483,325,850,815788,996,210,2021/12/22 11:35,2021/12/23 16:04,探店 美食,美食 美食侦探,food,1.187303241
大嘴儿美食挠儿哥,1127759,大哥一起打包6盘溜肉段，大厨做满满一锅外焦里嫩，还给老板娘留一碗,43117,2762,1782,840,1077,761086,1228,160,2021/12/21 13:09,2021/12/23 16:05,我与美食的故事 厨艺 美食,美食 美食制作,food,2.122118056
澳洲阿彭,1550528,烤 鸡 天 花 板,132796,44392,10911,1932,3719,1348276,1091,392,2021/12/19 11:54,2021/12/23 16:05,4K 厨艺 美食,美食 美食制作,food,4.173993056
大祥哥来了,4869385,目前吃过最有感觉的一家烤肉店！,49234,8788,2625,1458,4098,488173,1054,906,2021/12/20 18:38,2021/12/23 16:05,科鲁泽，人生的痛快连成串 人生一串 夜宵 烧烤 试吃 探店 美食,美食 美食测评,food,2.893726852
肉肉大搜索,2236155,云南“烧烤大佬”卖牛腩面，客人抱怨肉太多，一碗6坨肉8两重，吃完三天不想吃肉了,38699,3083,2662,3249,1390,577791,1017,310,2021/12/22 15:57,2021/12/23 16:05,烧烤 美食,美食 美食侦探,food,1.005196759
姬一元,1387081,百万网友的“童年回忆”辣条！这里有你的童年吗？,37218,13248,4761,335,3493,388330,1382,342,2021/12/21 18:10,2021/12/23 16:05,零食 试吃 种草 开箱 美食,美食 美食测评,food,1.913298611
小贝饿了,2519521,这家在重庆老居民楼里的麻辣烫，开了19年，人均20元，份量感人，好吃到跳脚！,33462,3827,1935,1482,2225,467401,846,549,2021/12/20 16:50,2021/12/23 16:05,麻辣烫 探店 美食,美食 美食侦探,food,2.968935185
牧民达西,140334,寒冷的冬天，陶陶不在草原的时候，蒙古包里每一个夜晚都是冰冷漫长的，每当想陶陶的时候就吃一顿布里亚特包子,31630,326,1028,70,245,478481,286,137,2021/12/21 12:10,2021/12/23 16:05,美食,美食 美食制作,food,2.163576389
东北干饭找晴天,50465,兴奋了一宿，就为了等这大螃蟹，大锅菜真是太下饭了,55277,276,6352,2234,295,1273661,469,112,2021/12/18 19:48,2021/12/23 16:05,冬天应该吃什么 家常菜 美食,美食 美食制作,food,4.845092593
玲子reiko-,769881,食材部位全都自选，这烤肉吃着也太香了,34155,580,985,162,272,385508,320,151,2021/12/20 21:17,2021/12/23 16:05,日本 美食,美食 美食侦探,food,2.783796296
